S No_S No,Maker_Maker,Calendar Year_2018,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,1,1
2,3GB TECHNOLOGY PVT LTD,50,50
3,3S INDUSTRIES PRIVATE LIMITED,6,6
4,A1 HEAVY EQUIPMENTS DEVELOPER,35,35
5,A3T INCORPORTED,275,275
6,AADHYA ENTERPRISES,9,9
7,AADITYA EMOTORS INDIA PVT LTD,247,247
8,AAKK AUTO PVT LTD,1,1
9,A AND Z MOTOR CO P LTD,10,10
10,AARYA AUTOMOBILES,3,3
11,AASHI INDIA AUTOMOBILES PVT LTD,45,45
12,A.B. AGRO ENGINEERING WORKS,1,1
13,A B EXCAVATORS & EARTHMOVER LTD,12,12
14,A B EXCAVATORS & EARTHMOVERS PVT LTD,7,7
15,ABHARAN MOTORS PRIVATE LTD,1,1
16,ABHAVIS TECHNOLOGY (I) PVT LTD,4,4
17,ABHISHEK ENGINEERING WORKS,32,32
18,ABIRAMI ENGINEERING WORKS,1,1
19,A B K AGRO INDUSTRIES,1,1
20,A B K ENGINEERING CO.,1,1
21,ACCRETION POWER AUTOS,277,277
22,ACTION CONSTRUCTION EQUIPMENT LTD.,8915,8915
23,A D AGRO WORKS,206,206
24,ADAPT MOTORS PVT LTD,2,2
25,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,1402,1402
