S No_S No,Maker_Maker,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0,1
2,3GB TECHNOLOGY PVT LTD,4,2,2,3,2,2,0,0,4,18,2,2,41
3,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,2,3,4,9,26,27,32,103
4,A1 HEAVY EQUIPMENTS DEVELOPER,8,17,19,12,11,4,13,5,4,9,3,17,122
5,A3T INCORPORTED,19,16,22,8,22,19,23,8,11,9,11,2,170
6,AADHYA ENTERPRISES,6,7,3,3,0,6,22,18,14,18,11,12,120
7,AADITYA EMOTORS INDIA PVT LTD,3,3,2,5,4,0,4,2,3,5,0,0,31
8,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,1,2,1,4,3,2,0,0,3,16
9,AASHI INDIA AUTOMOBILES PVT LTD,4,2,1,7,2,3,2,1,1,3,1,2,29
10,A B EXCAVATORS & EARTHMOVER LTD,0,2,0,0,0,1,0,0,0,0,4,2,9
11,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,2,1,0,0,0,0,0,0,0,0,1,4
12,ACCRETION POWER AUTOS,35,20,12,19,26,25,49,32,41,17,13,31,320
13,ACTION CONSTRUCTION EQUIPMENT LTD.,719,695,813,651,655,620,735,625,524,497,612,556,7702
14,A D AGRO WORKS,36,41,13,7,10,12,14,7,8,5,3,12,168
15,ADAPT MOTORS PVT LTD,1,0,5,0,0,0,0,0,0,0,0,0,6
16,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,106,59,77,68,57,41,321,393,110,84,129,156,1601
17,ADIDEV TECHNOA PVT LTD,0,0,0,0,0,5,0,0,0,0,3,0,8
18,ADISHAKTI TRACTORS,1,6,0,1,1,0,0,0,0,1,0,3,13
19,ADISHWAR AUTO RIDE INDIA PVT LTD,8,12,32,37,54,63,63,70,95,102,153,145,834
20,ADITYA AGRO INDUSTRIES,2,2,2,2,3,2,2,0,1,2,1,2,21
21,ADITYA ENTERPRISES,0,0,0,0,0,0,0,0,0,1,0,0,1
22,ADITYA SAI INDUSTRIES,15,2,36,9,21,36,30,17,41,32,25,32,296
23,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,3,2,7
24,AFZAL ENGG WORKSJUNAGARH,7,7,46,42,3,5,1,9,1,1,23,2,147
25,AGRASEN ENGINEERING WORKS,0,0,0,1,1,0,1,0,1,0,0,2,6
