S No_S No,Maker_Maker,Calendar Year_2017,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,11,11
2,3GB TECHNOLOGY PVT LTD,23,23
3,3S INDUSTRIES PRIVATE LIMITED,9,9
4,786 ENGINEERING WORKS AP105382023,1,1
5,A1 HEAVY EQUIPMENTS DEVELOPER,18,18
6,A-1 SUREJA INDUSTRIES,1,1
7,A3T INCORPORTED,105,105
8,AADHYA ENTERPRISES,50,50
9,AADITYA EMOTORS INDIA PVT LTD,486,486
10,AADITYA GARBAGE PRODUCTS PVT LTD,4,4
11,A AND Z MOTOR CO P LTD,12,12
12,AARGEE ELECTRIC,1,1
13,AARTI AGRO INDUSTRIES,1,1
14,AARYA AUTOMOBILES,1,1
15,AASHI INDIA AUTOMOBILES PVT LTD,14,14
16,A B EXCAVATORS & EARTHMOVER LTD,5,5
17,A B EXCAVATORS & EARTHMOVERS PVT LTD,2,2
18,ABHARAN MOTORS PRIVATE LTD,4,4
19,ABHAVIS TECHNOLOGY (I) PVT LTD,1,1
20,ABHAY AGRO INDUSTRIES,20,20
21,ABHISHEK ENGINEERING WORKS,52,52
22,ABIRAMI ENGINEERING WORKS,5,5
23,A B K ENGINEERING CO.,2,2
24,ABRA MOTORS PVT LTD,1,1
25,ACC CRANE,1,1
