S No_S No,Maker_Maker,Calendar Year_2022,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,390,390
2,3S INDUSTRIES PRIVATE LIMITED,68,68
3,A1 HEAVY EQUIPMENTS DEVELOPER,16,16
4,A-1 SUREJA INDUSTRIES,0,0
5,A3T INCORPORTED,9,9
6,AADHYA ENTERPRISES,517,517
7,AADITYA EMOTORS INDIA PVT LTD,1,1
8,AADITYA GARBAGE PRODUCTS PVT LTD,10,10
9,AAHANA COMMERCE PVT LTD,310,310
10,AAKK AUTO PVT LTD,0,0
11,AARGEE ELECTRIC,13,13
12,AARON INDUSTRIES,41,41
13,A.B. AGRO ENGINEERING WORKS,0,0
14,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0
15,A B EXCAVATORS & EARTHMOVERS PVT LTD,2,2
16,ABZO MOTORS PVT LTD,0,0
17,ACCRETION POWER AUTOS,608,608
18,ACTION CONSTRUCTION EQUIPMENT LTD.,7662,7662
19,A D AGRO WORKS,125,125
20,ADAPT MOTORS PVT LTD,3,3
21,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,1737,1737
22,ADIDEV TECHNOA PVT LTD,168,168
23,ADISHAKTI TRACTORS,327,327
24,ADISHWAR AUTO RIDE INDIA PVT LTD,1350,1350
25,ADITYA AGRO INDUSTRIES,41,41
