S No_S No,Maker_Maker,Calendar Year_2020,TOTAL_TOTAL
1,3GB TECHNOLOGY PVT LTD,5,5
2,3S INDUSTRIES PRIVATE LIMITED,142,142
3,A1 HEAVY EQUIPMENTS DEVELOPER,37,37
4,A3T INCORPORTED,11,11
5,AADHYA ENTERPRISES,69,69
6,AADITYA EMOTORS INDIA PVT LTD,14,14
7,AADITYA GARBAGE PRODUCTS PVT LTD,2,2
8,AAHANA COMMERCE PVT LTD,61,61
9,AARYA AUTOMOBILES,1,1
10,AASHI INDIA AUTOMOBILES PVT LTD,15,15
11,A.B. AGRO ENGINEERING WORKS,1,1
12,A B EXCAVATORS & EARTHMOVER LTD,10,10
13,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,1
14,ACCRETION POWER AUTOS,116,116
15,ACTION CONSTRUCTION EQUIPMENT LTD.,5646,5646
16,A D AGRO WORKS,60,60
17,ADAPT MOTORS PVT LTD,4,4
18,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,1884,1884
19,ADIDEV TECHNOA PVT LTD,14,14
20,ADISHAKTI TRACTORS,17,17
21,ADISHWAR AUTO RIDE INDIA PVT.LTD,2,2
22,ADISHWAR AUTO RIDE INDIA PVT LTD,2610,2610
23,ADITYA AGRO INDUSTRIES,36,36
24,ADITYA ENTERPRISES,2,2
25,ADITYA SAI INDUSTRIES,75,75
