S No_S No,Maker_Maker,Calendar Year_2024,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,70,70
2,3S INDUSTRIES PRIVATE LIMITED,1274,1274
3,A1 HEAVY EQUIPMENTS DEVELOPER,17,17
4,A-1 SUREJA INDUSTRIES,8,8
5,AADHYA ENTERPRISES,571,571
6,AADITYA GARBAGE PRODUCTS PVT LTD,5,5
7,AAHANA COMMERCE PVT LTD,2912,2912
8,AAKK AUTO PVT LTD,60,60
9,AARGEE ELECTRIC,10,10
10,AARON INDUSTRIES,27,27
11,A.B. AGRO ENGINEERING WORKS,10,10
12,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2,2
13,ABZO MOTORS PVT LTD,68,68
14,ACCPL INFRA FABTECH PVT LTD,1,1
15,ACCRETION POWER AUTOS,502,502
16,ACTION CONSTRUCTION EQUIPMENT LTD.,10797,10797
17,A D AGRO WORKS,105,105
18,ADAPT MOTORS PVT LTD,2,2
19,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2393,2393
20,ADIDEV TECHNOA PVT LTD,1687,1687
21,ADISHAKTI TRACTORS,2,2
22,ADISHWAR AUTO RIDE INDIA PVT LTD,246,246
23,ADITYA AGRO INDUSTRIES,61,61
24,ADITYA SAI INDUSTRIES,204,204
25,ADM TECHNOLOGIES PVT. LTD.,305,305
