S No_S No,Maker_Maker,Calendar Year_2021,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,142,142
2,3GB TECHNOLOGY PVT LTD,7,7
3,3S INDUSTRIES PRIVATE LIMITED,67,67
4,A1 HEAVY EQUIPMENTS DEVELOPER,7,7
5,A3T INCORPORTED,18,18
6,AADHYA ENTERPRISES,9,9
7,AADITYA EMOTORS INDIA PVT LTD,1,1
8,AAHANA COMMERCE PVT LTD,202,202
9,AARGEE ELECTRIC,10,10
10,AARYA AUTOMOBILES,3,3
11,AASHI INDIA AUTOMOBILES PVT LTD,1,1
12,A B EXCAVATORS & EARTHMOVER LTD,1,1
13,ACCRETION POWER AUTOS,208,208
14,ACTION CONSTRUCTION EQUIPMENT LTD.,6897,6897
15,A D AGRO WORKS,87,87
16,ADAPT MOTORS PVT LTD,2,2
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2590,2590
18,ADIDEV TECHNOA PVT LTD,34,34
19,ADISHAKTI TRACTORS,186,186
20,ADISHWAR AUTO RIDE INDIA PVT.LTD,1,1
21,ADISHWAR AUTO RIDE INDIA PVT LTD,1870,1870
22,ADITYA AGRO INDUSTRIES,61,61
23,ADITYA ENTERPRISES,5,5
24,ADITYA SAI INDUSTRIES,53,53
25,ADRIS ELECTRIC PVT LTD,65,65
