S No_S No,Maker_Maker,Calendar Year_2016,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,8,8
2,3GB TECHNOLOGY PVT LTD,68,68
3,3S INDUSTRIES PRIVATE LIMITED,6,6
4,A1 HEAVY EQUIPMENTS DEVELOPER,12,12
5,A3T INCORPORTED,34,34
6,AADESH INDUSTRIES,1,1
7,AADHYA ENTERPRISES,83,83
8,AADITYA EMOTORS INDIA PVT LTD,18,18
9,AAKAR TRAILERS,2,2
10,A AND Z MOTOR CO P LTD,6,6
11,AARYA AUTOMOBILES,3,3
12,AARYA AUTOMOBILES LTD,1,1
13,AASHI INDIA AUTOMOBILES PVT LTD,10,10
14,A B EXCAVATORS & EARTHMOVER LTD,5,5
15,A B EXCAVATORS & EARTHMOVERS PVT LTD,6,6
16,ABHARAN MOTORS PRIVATE LTD,5,5
17,ABHAY AGRO INDUSTRIES,64,64
18,ABHISHEK ENGINEERING WORKS,55,55
19,ABIRAMI ENGINEERING WORKS,1,1
20,A B K AGRO INDUSTRIES,3,3
21,A B K ENGINEERING CO.,3,3
22,ACC CRANE,3,3
23,ACCRETION POWER AUTOS,4,4
24,ACTION CONSTRUCTION EQUIPMENT LTD.,5235,5235
25,A D AGRO WORKS,51,51
