S No_S No,Maker_Maker,Calendar Year_2025,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,501,501
2,3S INDUSTRIES PRIVATE LIMITED,967,967
3,A1 HEAVY EQUIPMENTS DEVELOPER,16,16
4,A-1 SUREJA INDUSTRIES,2,2
5,AADHYA ENTERPRISES,200,200
6,AADITYA GARBAGE PRODUCTS PVT LTD,6,6
7,AAHANA COMMERCE PVT LTD,3440,3440
8,AAKK AUTO PVT LTD,80,80
9,AARON INDUSTRIES,12,12
10,A.B. AGRO ENGINEERING WORKS,10,10
11,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,6,6
12,ABZO MOTORS PVT LTD,11,11
13,ACCRETION POWER AUTOS,257,257
14,ACTION CONSTRUCTION EQUIPMENT LTD.,7291,7291
15,A D AGRO WORKS,72,72
16,ADAPT MOTORS PVT LTD,1,1
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,688,688
18,ADIDEV TECHNOA PVT LTD,1092,1092
19,ADISHWAR AUTO RIDE INDIA PVT LTD,101,101
20,ADITYA AGRO INDUSTRIES,10,10
21,ADITYA SAI INDUSTRIES,236,236
22,ADM TECHNOLOGIES PVT. LTD.,86,86
23,ADRIS ELECTRIC PVT LTD,1,1
24,AERODRIVE PVT LTD,166,166
25,AEROEAGLE AUTOMOBILES PVT LTD,66,66
